x_f/dx-theor.,P_q(x_f)-theor.,P_c(x_f)-theor.,x_f/dx-exp.,P_e(x_f),P_q(x_f)-exp.,S.E. of P_q(x_f)-exp.,P_c(x_f)-exp.,S.E. of P_c(x_f)-exp.
1.21555,1.181627378,1.030184403,,,,,,
1.23439,1.181232146,1.030184403,,,,,,
1.25324,1.180830951,1.030184403,,,,,,
1.27208,1.180423798,1.030184403,,,,,,
1.29093,1.180010692,1.030184403,,,,,,
1.30978,1.179591639,1.030184403,,,,,,
1.32862,1.179166644,1.030184403,,,,,,
1.34747,1.178735714,1.030184403,,,,,,
1.36631,1.178298853,1.030184403,,,,,,
1.38516,1.177856069,1.030184403,,,,,,
1.404,1.177407366,1.030184403,,,,,,
1.42285,1.17695275,1.030184403,,,,,,
1.4417,1.176492228,1.030184403,,,,,,
1.46054,1.176025806,1.030184403,,,,,,
1.47939,1.17555349,1.030184403,,,,,,
1.49823,1.175075285,1.030184403,,,,,,
1.51708,1.1745912,1.030184403,,,,,,
1.53592,1.174101239,1.030184403,,,,,,
1.55477,1.17360541,1.030184403,,,,,,
1.57362,1.173103719,1.030184403,,,,,,
1.59246,1.172596173,1.030184403,,,,,,
1.61131,1.172082778,1.030184403,,,,,,
1.63015,1.171563541,1.030184403,,,,,,
1.649,1.17103847,1.030184403,,,,,,
1.66784,1.17050757,1.030184403,,,,,,
1.68669,1.16997085,1.030184403,,,,,,
1.70554,1.169428317,1.030184403,,,,,,
1.72438,1.168879976,1.030184403,,,,,,
1.74323,1.168325837,1.030184403,,,,,,
1.76207,1.167765905,1.030184403,,,,,,
1.78092,1.167200189,1.030184403,,,,,,
1.79976,1.166628697,1.030184403,,,,,,
1.81861,1.166051434,1.030184403,,,,,,
1.83746,1.16546841,1.030184403,,,,,,
1.8563,1.164879633,1.030184403,,,,,,
1.87515,1.164285108,1.030184403,,,,,,
1.89399,1.163684846,1.030184403,,,,,,
1.91284,1.163078853,1.030184403,,,,,,
1.93168,1.162467138,1.030184403,,,,,,
1.95053,1.161849708,1.030184403,,,,,,
1.96938,1.161226573,1.030184403,,,,,,
1.98822,1.160597739,1.030184403,,,,,,
2.00707,1.159963216,1.030184403,,,,,,
2.02591,1.159323012,1.030184403,,,,,,
2.04476,1.158677136,1.030184403,,,,,,
2.0636,1.158025595,1.030184403,,,,,,
2.08245,1.157368399,1.030184403,,,,,,
2.1013,1.156705555,1.030184403,,,,,,
2.12014,1.156037074,1.030184403,,,,,,
2.13899,1.155362964,1.030184403,,,,,,
2.15783,1.154683233,1.030184403,,,,,,
2.17668,1.153997891,1.030184403,,,,,,
2.19552,1.153306947,1.030184403,,,,,,
2.21437,1.152610409,1.030184403,,,,,,
2.23322,1.151908288,1.030184403,,,,,,
2.25206,1.151200592,1.030184403,,,,,,
2.27091,1.150487331,1.030184403,,,,,,
2.28975,1.149768513,1.030184403,,,,,,
2.3086,1.149044149,1.030184403,,,,,,
