j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
630001 ,0.42430 ,0.39524 ,0.01154 ,0.60614 ,0.59693 ,0.02248 ,0.87064 ,0.93445 ,0.02866 ,64,-0.00448 ,0.17450 ,0.48549 
640001 ,0.42430 ,0.41795 ,0.00972 ,0.61165 ,0.65616 ,0.00924 ,0.87064 ,0.88727 ,0.02064 ,65,0.00631 ,0.17220 ,0.48762 
650001 ,0.42981 ,0.41757 ,0.02434 ,0.61165 ,0.64639 ,0.01276 ,0.87615 ,0.93193 ,0.00876 ,66,-0.00841 ,0.17315 ,0.47015 
660001 ,0.42981 ,0.47457 ,0.02415 ,0.61716 ,0.59641 ,0.00746 ,0.88166 ,0.92594 ,0.01632 ,67,0.00189 ,0.18021 ,0.47675 
670001 ,0.43532 ,0.41785 ,0.01258 ,0.61716 ,0.62138 ,0.00940 ,0.88166 ,0.90137 ,0.00783 ,68,0.01617 ,0.18160 ,0.48030 
680001 ,0.43532 ,0.48675 ,0.02713 ,0.62268 ,0.64214 ,0.01103 ,0.88718 ,0.89846 ,0.00643 ,69,0.01864 ,0.19252 ,0.49740 
690001 ,0.44083 ,0.42689 ,0.02371 ,0.62268 ,0.66405 ,0.02650 ,0.88718 ,0.99034 ,0.01419 ,70,0.00521 ,0.18010 ,0.46983 
700001 ,0.44083 ,0.46264 ,0.02026 ,0.62819 ,0.63543 ,0.01872 ,0.89269 ,0.98528 ,0.02286 ,71,0.01551 ,0.18261 ,0.47782 
710001 ,0.44083 ,0.45154 ,0.01268 ,0.62819 ,0.58763 ,0.00235 ,0.89820 ,1.00071 ,0.00781 ,72,-0.00061 ,0.18399 ,0.47110 
720001 ,0.44634 ,0.45384 ,0.01953 ,0.63370 ,0.63248 ,0.00711 ,0.89820 ,0.99320 ,0.01072 ,73,0.00899 ,0.18649 ,0.49202 
730001 ,0.45185 ,0.41781 ,0.02165 ,0.63370 ,0.61089 ,0.00576 ,0.90371 ,0.97066 ,0.01828 ,74,0.01000 ,0.19692 ,0.48530 
740001 ,0.45185 ,0.48289 ,0.01746 ,0.63921 ,0.61462 ,0.02362 ,0.90371 ,0.96884 ,0.01431 ,75,-0.00471 ,0.19830 ,0.49147 
750001 ,0.45185 ,0.46005 ,0.00862 ,0.63921 ,0.62311 ,0.00335 ,0.90922 ,0.94492 ,0.02324 ,76,0.00559 ,0.19102 ,0.47518 
